Namespace(batch_size=100, decay_rate=0.1, decay_step=20000, gpu=2, learning_rate=1.0, log_dir='log1002', max_epoch=10000, momentum=0.9)
Loss for Iter 1: 0.521861, acc = 0.090000
Loss for Iter 51: 0.398579, acc = 0.260000
Loss for Iter 101: 0.378631, acc = 0.360000
Loss for Iter 151: 0.383040, acc = 0.270000
Loss for Iter 201: 0.347649, acc = 0.470000
Loss for Iter 251: 0.343888, acc = 0.420000
Loss for Iter 301: 0.313090, acc = 0.490000
Loss for Iter 351: 0.295206, acc = 0.610000
Loss for Iter 401: 0.303198, acc = 0.450000
Loss for Iter 451: 0.304991, acc = 0.450000
Loss for Iter 501: 0.297915, acc = 0.480000
Loss for Iter 551: 0.289332, acc = 0.500000
Loss for Iter 601: 0.269211, acc = 0.570000
Loss for Iter 651: 0.251373, acc = 0.590000
Loss for Iter 701: 0.268047, acc = 0.510000
Loss for Iter 751: 0.242340, acc = 0.560000
Loss for Iter 801: 0.264096, acc = 0.530000
Loss for Iter 851: 0.232994, acc = 0.620000
Loss for Iter 901: 0.215619, acc = 0.650000
Loss for Iter 951: 0.218716, acc = 0.560000
-----------------------------------
Test loss for epoch 0: 0.219824, Acc = 0.610300
Loss for Iter 1001: 0.216334, acc = 0.640000
Loss for Iter 1051: 0.233122, acc = 0.570000
Loss for Iter 1101: 0.192807, acc = 0.670000
Loss for Iter 1151: 0.193253, acc = 0.690000
Loss for Iter 1201: 0.203301, acc = 0.660000
Loss for Iter 1251: 0.183846, acc = 0.680000
Loss for Iter 1301: 0.186708, acc = 0.660000
Loss for Iter 1351: 0.191640, acc = 0.640000
Loss for Iter 1401: 0.171121, acc = 0.640000
Loss for Iter 1451: 0.172547, acc = 0.680000
Loss for Iter 1501: 0.169280, acc = 0.660000
Loss for Iter 1551: 0.160100, acc = 0.730000
Loss for Iter 1601: 0.173768, acc = 0.620000
Loss for Iter 1651: 0.166963, acc = 0.710000
Loss for Iter 1701: 0.168854, acc = 0.670000
Loss for Iter 1751: 0.147692, acc = 0.720000
Loss for Iter 1801: 0.174924, acc = 0.700000
Loss for Iter 1851: 0.140911, acc = 0.800000
